lname,Count_Open,Count_Closed,TotBusines,PercClosed,Pop_Tot_Prop,AGE_Und18_Prop,AGE_Und18_Perc,AGE_18to24_Prop,AGE_18to24_Perc,AGE_25to34_Prop,AGE_25to34_Perc,Age_35to44_Prop,Age_35to44_Perc,Age_45to54_Prop,Age_45to54_Perc,Age_55to64_Prop,Age_55to64_Perc,AGE_Ov65_Prop,AGE_Ov65_Perc,R_White_Prop,R_White_Perc,R_Black_Prop,R_Black_Perc,R_Native_Prop,R_Native_Perc,R_Asian_Prop,R_Asian_Perc,R_PacIslan_Prop,R_PacIslan_Perc,R_Other_Prop,R_Other_Perc,R_Multi_Prop,R_Mult_Perc,R_Latino_Prop,R_Latino_Perc,E_PopOv25_Prop,E_PopOv25_Perc,E_LessHS_Prop,E_LessHS_Perc,E_HS_Prop,E_HS_Perc,E_SomeCol_Prop,E_SomeCol_Perc,E_Bach_Prop,E_Bach_Perc,E_Adv_Prop,E_Adv_Perc,LF_Pop_Prop,LF_Pop_Perc,LF_Army_Prop,LF_Army_Perc,LF_Employe_Prop,LF_Employe_Perc,LF_Busines_Prop,LF_Busines_Perc,LF_Profess_Prop,LF_Profess_Perc,LF_Healthc_Prop,LF_Healthc_Perc,LF_Securit_Prop,LF_Securit_Perc,LF_Food_Prop,LF_Food_Perc,LF_Mainten_Prop,LF_Mainten_Perc,LF_PersCar_Prop,LF_PersCar_Perc,LF_Sales_Prop,LF_Sales_Perc,LF_Admin_Prop,LF_Admin_Perc,LF_FFF_Prop,LF_FFF_Perc,LF_Constru_Prop,LF_Constru_Perc,LF_Product_Prop,LF_Product_Perc,LF_Transit_Prop,LF_Transit_Perc,MHI_Tot_Divided,H_TotUnits_Prop,H_Occupied_Prop,H_Occupied_Perc,H_Vacant_Prop,H_Vacant_Perc,H_RenterOc_Prop,H_RenterOc_Perc,RB_30to49_Prop,RB_30to49_Perc,RB_Ov50_Prop,RB_Ov50_Perc,AREA_Prop
Blackstone,14,1,15,7%,6272.913093,1524.753762,0.243069486,180.6666969,0.028801084,1097.861525,0.175016218,787.1446741,0.125483115,821.5722615,0.130971408,786.9195851,0.125447232,1073.994588,0.171211457,5216.573567,0.831603035,102.906907,0.016404963,4.530544313,0.000722239,519.7670742,0.082858963,3.400073017,0.000542025,20.2025462,0.0032206,206.6667817,0.032945902,198.8655997,0.031702272,4567.492634,0.72812943,57.7322209,0.012639806,259.1152892,0.056730314,411.9705562,0.090196217,1299.551569,0.284521875,2539.122998,0.555911788,3449.76853,0.549946808,18.12434203,0.005253785,3283.329298,0.951753507,680.7021508,0.19731821,1972.908258,0.571895836,11.66938856,0.003382658,8.623799305,0.00249982,42.96897911,0.012455612,10.3265764,0.002993411,42.64393032,0.012361389,224.6480195,0.065119737,172.5175707,0.050008448,0.075315915,2.18E-05,44.610036,0.012931313,52.42117448,0.015195563,19.21409872,0.005569678,149209.1973,2739.407533,2545.699329,0.929288286,193.7082031,0.070711714,672.8616238,0.264313077,105.1961966,0.156341502,202.365392,0.300753357,5.744286803
Charles,27,1,28,4%,6690.618152,1784.021568,0.266645253,468.7005071,0.070053394,972.31198,0.145324686,890.5960877,0.133111182,976.8418097,0.146001728,939.5954896,0.14043478,658.5507106,0.098428979,1912.984814,0.285920489,1609.909791,0.240621981,0.006222302,9.30E-07,179.4624508,0.026823,6.700287107,0.001001445,51.61676521,0.007714798,424.986351,0.063519744,2504.951471,0.374397614,4437.896078,0.663301354,752.392003,0.169537995,1638.436155,0.369192096,1091.302369,0.245905346,706.426051,0.159180395,249.3394993,0.056184168,3324.662065,0.496914035,0,0,3137.235007,0.94362523,156.3218401,0.047018866,487.8522034,0.146737381,508.297929,0.152887096,182.3817914,0.054857242,124.2094773,0.037360031,316.2640681,0.095126681,96.57579847,0.029048305,329.2401842,0.099029669,242.4607531,0.072927939,31,0.009324256,94.08932729,0.028300418,194.2359635,0.058422769,374.3056716,0.112584577,28048.00187,2990.271267,2582.401917,0.863601221,407.8693502,0.136398779,1502.807137,0.581941613,503.5234913,0.335055297,102.6187652,0.06828472,4.516936388
College Hill,35,1,36,3%,8606.6193,281.5107605,0.032708634,5822.176907,0.67647664,977.3730879,0.113560627,276.3059151,0.032103885,318.1558746,0.036966417,553.1323407,0.064268248,377.9644138,0.043915549,5664.559413,0.65816312,393.7686175,0.045751834,39.05005258,0.004537212,1427.929168,0.165910576,9.99676337,0.00116152,43.79488352,0.005088512,317.9847499,0.036946534,709.5356519,0.082440692,2502.931632,0.290814726,115.299239,0.046065677,97.41111829,0.038918809,209.2359543,0.083596352,793.2316173,0.316921009,1287.753703,0.514498154,4096.325545,0.475950591,0,0,3821.148398,0.932823419,527.8196871,0.128851987,1626.082239,0.396961184,32.6322425,0.007966223,47.85403777,0.011682186,230.1241233,0.056178182,56.38864936,0.013765666,249.3353883,0.06086806,403.0117976,0.098383733,486.3797069,0.118735609,0.127059678,3.10E-05,31.182192,0.007612235,61.53992138,0.015023201,68.67135334,0.016764135,58696.84378,2235.294819,1719.702878,0.76934052,515.5919412,0.23065948,1126.193012,0.654876506,143.7608343,0.127652039,414.2240207,0.367809084,5.885946938
Downtown,167,10,177,6%,4814.945538,190.1673875,0.039495231,2103.045623,0.43677454,790.0829168,0.164089689,353.9515245,0.073511013,297.1800498,0.061720335,493.2660866,0.10244479,587.2519505,0.121964401,2427.953543,0.504253584,365.24776,0.075857091,117.6444944,0.024433193,825.8823406,0.171524752,0.003236703,6.72E-07,17.43000507,0.00361998,183.8983415,0.038193234,876.8858169,0.182117494,2521.732528,0.523730229,391.3287182,0.155182484,487.0210549,0.193129545,307.061454,0.121766068,483.9166143,0.19189847,852.4046868,0.338023433,2529.646313,0.525373816,0,0,2288.428951,0.904643839,359.5470254,0.142133319,734.9952796,0.290552587,0.008467415,3.35E-06,80.92304443,0.031989865,138.8758813,0.054899327,42.21007448,0.016686157,92.57043459,0.03659422,305.6698773,0.120835026,405.4996215,0.16029894,0,0,45.24645818,0.017886476,26.88676206,0.010628665,55.99602429,0.02213591,50552.73569,2309.253769,1974.370895,0.854982212,334.8828742,0.145017788,1681.142313,0.851482524,273.1797097,0.162496481,402.8692692,0.239640194,3.561838232
Elmhurst,25,0,25,0%,10617.43737,1482.266486,0.139606803,2901.510592,0.273277863,1075.79621,0.101323528,1223.441527,0.115229455,1286.852346,0.121201784,1145.321961,0.107871789,1502.248249,0.141488779,7326.072443,0.690003829,783.4978693,0.0737935,13.06658168,0.001230672,460.3964794,0.043362298,6.596156673,0.000621257,37.03477971,0.003488109,244.1998071,0.022999882,1746.573252,0.164500453,6233.660292,0.587115334,518.3049507,0.083146166,1447.863963,0.232265458,1664.774684,0.267062144,1245.175289,0.199750264,1357.541406,0.217775968,5280.505416,0.497342742,6.630844913,0.001255722,5117.52788,0.969135997,780.2232319,0.147755408,1453.292613,0.275218468,140.1808761,0.026546867,30.49451228,0.005774923,269.796825,0.051092993,218.8978119,0.041453951,203.9571168,0.038624545,526.0746696,0.099625818,736.0093644,0.139382371,0,0,252.4556296,0.04780899,266.2652074,0.05042419,239.8800223,0.045427474,49994.9439,3867.889657,3517.800015,0.909488204,350.0896414,0.090511796,1315.378111,0.373920662,263.4082493,0.200252876,345.2246223,0.262452765,10.31860744
Elmwood,41,1,42,2%,11270.76399,3043.015073,0.269991908,1772.397391,0.157256189,1554.248328,0.137900885,1523.838308,0.135202752,1374.702702,0.121970676,928.8875493,0.082415669,1073.674637,0.095261922,1165.107503,0.103374315,1125.853939,0.099891537,397.3910938,0.035258576,465.4075896,0.041293349,23.91153328,0.002121554,93.86503857,0.008328188,85.12088165,0.007552361,7914.106408,0.70218012,6455.351523,0.572751903,1986.660927,0.307754104,1933.599836,0.299534399,1671.464591,0.258926967,583.3392036,0.090365211,280.2869655,0.043419319,5592.883263,0.496229295,0,0,4673.215951,0.835564722,275.1707067,0.049200152,410.8485334,0.073459165,262.7487908,0.04697913,48.06090514,0.008593225,81.5862052,0.014587504,334.5950242,0.05982514,212.8484415,0.038057015,700.271118,0.125207533,749.0208817,0.133923926,74.11404655,0.013251492,262.6375481,0.04695924,618.2720979,0.110546219,643.0416515,0.114974982,40084.05474,4236.41934,3563.570587,0.84117513,672.8487529,0.15882487,2663.674077,0.747473359,682.5611743,0.256248007,555.7581234,0.20864344,9.046041527
Federal Hill,78,5,83,6%,6602.838502,977.0852478,0.147979577,1284.528733,0.194541898,1693.493195,0.256479572,854.6461269,0.12943617,413.3403503,0.062600403,528.5536203,0.080049455,851.1912285,0.128912926,3357.480701,0.508490508,399.9407479,0.060571033,1.253091749,0.000189781,392.1258024,0.059387459,0,0,20.2193946,0.003062228,128.6084343,0.019477749,2303.210329,0.348821242,4341.224521,0.657478525,850.1582021,0.195833733,1292.956429,0.297832195,652.3467047,0.150267903,920.6302532,0.212066952,625.1329322,0.143999217,3807.099881,0.57658534,0,0,3505.13015,0.920682477,465.0250026,0.122146783,865.5530696,0.227352341,57.01641114,0.014976337,31.12083552,0.008174421,666.0520562,0.174949982,173.1667943,0.045485225,170.8168547,0.044867973,333.0150589,0.08747211,281.1973802,0.073861309,0,0,238.4330681,0.06262853,103.4165221,0.027164121,120.3170964,0.031603346,33768.13414,3846.513342,2973.642742,0.773074855,872.8705995,0.226925145,2474.92577,0.832287529,566.9028009,0.229058507,487.9240426,0.19714694,6.760442011
Fox Point,48,5,53,9%,3661.118119,240.5025003,0.065690997,938.27819,0.256281868,1074.755331,0.293559316,276.585421,0.075546708,256.4724798,0.070053047,376.6873429,0.102888607,497.8368539,0.135979457,2406.699538,0.657367356,205.3530192,0.056090247,0.016956932,4.63E-06,569.5331447,0.155562625,0,0,126.0770852,0.034436771,122.2928939,0.033403154,231.1454815,0.063135216,2482.337429,0.678027135,128.7270184,0.05185718,255.4690766,0.102914726,206.2397748,0.083082893,801.5607505,0.322905638,1090.340808,0.439239563,2112.087512,0.57689685,0,0,1989.250271,0.941840837,263.182141,0.124607593,1220.779747,0.577996764,26.9428258,0.012756491,39.02728192,0.018478061,56.87583049,0.026928728,1.572120837,0.000744345,59.28241204,0.028068161,156.2669261,0.073986956,105.0178313,0.049722292,0,0,10.02369431,0.004745871,30.60981787,0.014492684,19.6696424,0.009312892,44736.10251,2155.525322,1791.730917,0.831227032,363.7944052,0.168772968,1312.437537,0.732497009,312.6782414,0.238242379,456.1043233,0.347524595,4.080839561
Hartford,23,0,23,0%,6788.62411,2327.43555,0.342843485,593.3904485,0.087409531,1240.111101,0.182674881,782.9520119,0.115332945,829.6138973,0.122206486,524.258996,0.077226105,490.8621054,0.072306567,842.6410124,0.124125449,1327.213459,0.195505516,61.80592263,0.009104337,182.3804411,0.026865597,0,0,0,0,10.5901543,0.001559985,4363.99312,0.642839116,3867.798112,0.569746984,998.3271527,0.258112529,1752.304365,0.453049594,786.7971477,0.203422496,281.1986936,0.072702526,49.17075277,0.012712854,3061.740231,0.451010423,0,0,2540.212393,0.829662937,140.9884611,0.046048473,142.7126135,0.046611601,327.4861195,0.106960779,0,0,255.7836675,0.083541923,210.614355,0.0687891,65.05538282,0.021247845,303.2524289,0.099045773,248.4235862,0.081138035,23.87600705,0.007798182,210.7159481,0.068822282,406.505611,0.132769465,204.7982122,0.06688948,29447.67232,2529.710172,2172.411573,0.858759077,357.2985999,0.141240923,1507.725826,0.694033233,431.8299972,0.286411488,325.6903993,0.21601434,6.137022238
Hope,27,0,27,0%,3031.252222,514.946523,0.169879141,186.2899122,0.061456421,530.8146433,0.175113981,503.8758677,0.166226969,364.9969512,0.120411277,379.4191511,0.125169113,550.9091734,0.181743099,2060.449412,0.67973539,269.0707437,0.088765541,3.469455695,0.001144562,414.6719486,0.136798893,11.87845614,0.003918663,9.479136634,0.003127136,154.2848953,0.050898072,107.948174,0.035611743,2330.015787,0.768664438,198.1927351,0.085060683,323.1444338,0.138687659,368.9049116,0.158327216,613.4728073,0.263291266,826.3008989,0.354633176,1690.334445,0.557635697,23.15418715,0.013697992,1609.19623,0.951998721,248.3300036,0.146911757,733.4664865,0.433917967,25.17734899,0.014894892,17.68827326,0.010464363,19.86033634,0.011749353,44.418692,0.026278049,43.97303258,0.026014398,183.0362375,0.108284037,170.3217067,0.100762134,0,0,51.43973669,0.030431692,40.09897829,0.023722511,31.38539714,0.018567566,80228.03496,1365.085974,1281.798587,0.938987442,83.28738743,0.061012558,506.9885232,0.395529008,96.44107444,0.190223388,85.22794098,0.168106253,2.479723629
Lower South Providence,23,3,26,12%,5874.548161,1840.19448,0.313248684,692.4706365,0.117876408,766.3397648,0.130450844,696.2948348,0.118527386,743.4614277,0.126556359,522.5764926,0.088956032,613.2105252,0.104384288,295.1123736,0.050235757,1168.519221,0.198912187,66.1331592,0.011257574,45.18493872,0.007691645,0.002959426,5.04E-07,0.277430515,4.72E-05,16.73656231,0.002848996,4282.581517,0.729006112,3341.883045,0.568874908,1035.177289,0.309758683,1096.032086,0.327968415,798.4232571,0.238914183,301.9852776,0.090363808,110.2651348,0.032994911,2496.168894,0.424912491,0,0,2173.649672,0.870794311,121.0954234,0.048512512,330.2520133,0.132303553,219.4559113,0.087917092,17.07571432,0.006840769,61.60636747,0.024680368,233.9866991,0.093738328,113.7472229,0.045568721,159.5984448,0.063937358,191.9337755,0.076891342,0,0,137.1574479,0.054947183,256.8833527,0.102911046,330.8572994,0.132546039,21988.82705,2234.274378,1941.754136,0.869075954,292.520242,0.130924046,1356.451302,0.698570059,350.2733529,0.258227739,474.1595107,0.349558816,5.91142467
